datetimeutc,Quebec
2026-05-23 00:03:00,34663.34112777663
2026-05-23 00:06:00,34068.38219621991
2026-05-23 00:09:00,33409.638784334194
2026-05-23 00:12:00,32682.886797165625
2026-05-23 00:15:00,31886.738966273228
2026-05-23 00:18:00,31021.662161230546
2026-05-23 00:21:00,30090.30728490254
2026-05-23 00:24:00,29096.40423889351
2026-05-23 00:27:00,28044.341815101805
2026-05-23 00:30:00,26939.14705148235
2026-05-23 00:33:00,25786.301869121096
2026-05-23 00:36:00,24593.559572790025
2026-05-23 00:39:00,23358.84535803723
2026-05-23 00:42:00,22088.96437607627
2026-05-23 00:45:00,20790.802628326357
2026-05-23 00:48:00,19473.01282324748
2026-05-23 00:51:00,18147.65165613092
2026-05-23 00:54:00,16827.260417984584
2026-05-23 00:57:00,15521.306888859915
2026-05-23 01:00:00,14236.38552116389
2026-05-23 01:03:00,12976.259380626829
2026-05-23 01:06:00,11743.138382414918
2026-05-23 01:09:00,10538.061098226428
2026-05-23 01:12:00,9361.222093026798
2026-05-23 01:15:00,8211.698555519984
2026-05-23 01:18:00,7087.729656214364
2026-05-23 01:21:00,5987.178629992831
2026-05-23 01:24:00,4908.590507432758
2026-05-23 01:27:00,3848.6716327714284
2026-05-23 01:30:00,2811.045869267316
2026-05-23 01:33:00,1795.0983325754687
2026-05-23 01:36:00,800.3027866333895
2026-05-23 01:39:00,-175.37463999524672
2026-05-23 01:42:00,-1134.3174426671148
2026-05-23 01:45:00,-2078.779056948131
2026-05-23 01:48:00,-3008.577116670581
2026-05-23 01:51:00,-3924.6965067389783
2026-05-23 01:54:00,-4828.199223608815
2026-05-23 01:57:00,-5718.645830191102
2026-05-23 02:00:00,-6596.365311617753
2026-05-23 02:03:00,-7461.488122678539
2026-05-23 02:06:00,-8314.179077339533
2026-05-23 02:09:00,-9154.162756336795
2026-05-23 02:12:00,-9980.809543574316
2026-05-23 02:15:00,-10793.172252576867
2026-05-23 02:18:00,-11590.287986373953
2026-05-23 02:21:00,-12371.625210515504
2026-05-23 02:24:00,-13137.120278059174
2026-05-23 02:27:00,-13887.147741317076
2026-05-23 02:30:00,-14622.108609319825
2026-05-23 02:33:00,-15342.501698675449
2026-05-23 02:36:00,-16048.443190332782
2026-05-23 02:39:00,-16739.304058374742
2026-05-23 02:42:00,-17413.98640745684
2026-05-23 02:45:00,-18070.813743596213
2026-05-23 02:48:00,-18707.867272087668
2026-05-23 02:51:00,-19323.157100725275
2026-05-23 02:54:00,-19914.80229450236
2026-05-23 02:57:00,-20481.110959485988
2026-05-23 03:00:00,-21020.82916670266
2026-05-23 03:03:00,-21533.021340298244
2026-05-23 03:06:00,-22016.72148216479
2026-05-23 03:09:00,-22471.806566912586
2026-05-23 03:12:00,-22897.125807820164
2026-05-23 03:15:00,-23292.215135042814
2026-05-23 03:18:00,-23656.488975047567
2026-05-23 03:21:00,-23989.210879184266
2026-05-23 03:24:00,-24289.63178114708
2026-05-23 03:27:00,-24556.848966878017
2026-05-23 03:30:00,-24789.77861742391
2026-05-23 03:33:00,-24987.105424126494
2026-05-23 03:36:00,-25148.06180593474
2026-05-23 03:39:00,-25271.5026016692
2026-05-23 03:42:00,-25356.82410273176
2026-05-23 03:45:00,-25403.261472396065
2026-05-23 03:48:00,-25410.169154026487
2026-05-23 03:51:00,-25376.97837920211
2026-05-23 03:54:00,-25303.17976821753
2026-05-23 03:57:00,-25188.278555067584
2026-05-23 04:00:00,-25031.74316440657
2026-05-23 04:03:00,-24832.960857116916
2026-05-23 04:06:00,-24591.214812200644
2026-05-23 04:09:00,-24305.68554169026
2026-05-23 04:12:00,-23975.410268653704
2026-05-23 04:15:00,-23599.272323623693
2026-05-23 04:18:00,-23176.020290875967
2026-05-23 04:21:00,-22704.338053090793
2026-05-23 04:24:00,-22182.863556006647
2026-05-23 04:27:00,-21610.155285959012
2026-05-23 04:30:00,-20984.71297957169
2026-05-23 04:33:00,-20304.983479009516
2026-05-23 04:36:00,-19569.37503406148
2026-05-23 04:39:00,-18776.285553503927
2026-05-23 04:42:00,-17924.132610172503
2026-05-23 04:45:00,-17011.402263726104
2026-05-23 04:48:00,-16036.696115502109
2026-05-23 04:51:00,-14998.782644702042
2026-05-23 04:54:00,-13896.654691988959
2026-05-23 04:57:00,-12729.621767083714
2026-05-23 05:00:00,-11497.39166481857
2026-05-23 05:03:00,-10200.170501336495
2026-05-23 05:06:00,-8838.661382247315
2026-05-23 05:09:00,-7414.1414865363
2026-05-23 05:12:00,-5928.699046741019
2026-05-23 05:15:00,-4385.4490388005115
2026-05-23 05:18:00,-2788.5081793417016
2026-05-23 05:21:00,-1144.1848523168496
2026-05-23 05:24:00,540.8465264405156
2026-05-23 05:27:00,2263.367993561041
2026-05-23 05:30:00,4012.758013016108
2026-05-23 05:33:00,5769.6906765705935
2026-05-23 05:36:00,7531.2929273676045
2026-05-23 05:39:00,9287.461545981347
2026-05-23 05:42:00,11029.445338359172
2026-05-23 05:45:00,12749.255680953685
2026-05-23 05:48:00,14439.440009568749
2026-05-23 05:51:00,16094.717364421042
2026-05-23 05:54:00,17707.16736338389
2026-05-23 05:57:00,19271.222707416353
2026-05-23 06:00:00,20782.343285708506
2026-05-23 06:03:00,22236.201461028257
2026-05-23 06:06:00,23629.584408120365
2026-05-23 06:09:00,24960.133825522924
2026-05-23 06:12:00,26226.469894086313
2026-05-23 06:15:00,27428.041943867636
2026-05-23 06:18:00,28565.095437602267
2026-05-23 06:21:00,29638.48873855198
2026-05-23 06:24:00,30649.594777027844
2026-05-23 06:27:00,31599.65683867395
2026-05-23 06:30:00,32490.761876962482
2026-05-23 06:33:00,33325.121157465204
2026-05-23 06:36:00,34105.10578975026
2026-05-23 06:39:00,34833.00028060699
2026-05-23 06:42:00,35511.28873574121
2026-05-23 06:45:00,36142.35817335476
2026-05-23 06:48:00,36728.52610247571
2026-05-23 06:51:00,37273.008151321716
2026-05-23 06:54:00,37777.92632284299
2026-05-23 06:57:00,38244.900717784745
2026-05-23 07:00:00,38675.861100436814
2026-05-23 07:03:00,39072.424383648126
2026-05-23 07:06:00,39437.10663518153
2026-05-23 07:09:00,39771.87984577828
2026-05-23 07:12:00,40079.20265199077
2026-05-23 07:15:00,40360.09444012937
2026-05-23 07:18:00,40616.06966650274
2026-05-23 07:21:00,40848.086589537226
2026-05-23 07:24:00,41057.711225188985
2026-05-23 07:27:00,41246.06758015576
2026-05-23 07:30:00,41414.332374331396
2026-05-23 07:33:00,41563.9213359654
2026-05-23 07:36:00,41695.25690038799
2026-05-23 07:39:00,41809.71779587847
2026-05-23 07:42:00,41907.91999478561
2026-05-23 07:45:00,41990.0851272054
2026-05-23 07:48:00,42057.616917122185
2026-05-23 07:51:00,42111.72246750126
2026-05-23 07:54:00,42153.68249356232
2026-05-23 07:57:00,42184.581597993594
2026-05-23 08:00:00,42204.61633152067
2026-05-23 08:03:00,42215.27653762534
2026-05-23 08:06:00,42218.25104814
2026-05-23 08:09:00,42215.017924286054
2026-05-23 08:12:00,42205.15671148002
2026-05-23 08:15:00,42188.770511159666
2026-05-23 08:18:00,42166.01462821112
2026-05-23 08:21:00,42137.18853604855
2026-05-23 08:24:00,42103.0961507131
2026-05-23 08:27:00,42063.92777246509
2026-05-23 08:30:00,42020.105565264035
2026-05-23 08:33:00,41972.21977934059
2026-05-23 08:36:00,41921.18688412792
2026-05-23 08:39:00,41867.25688646775
2026-05-23 08:42:00,41811.14908848909
2026-05-23 08:45:00,41753.096749179356
2026-05-23 08:48:00,41693.07750889727
2026-05-23 08:51:00,41630.65568022954
2026-05-23 08:54:00,41566.271943306485
2026-05-23 08:57:00,41499.26664902914
2026-05-23 09:00:00,41430.042698027886
2026-05-23 09:03:00,41358.70436793392
2026-05-23 09:06:00,41285.67184493384
2026-05-23 09:09:00,41210.989214920715
